player_id,player_name,bat_style,bowl_style,field_pos
14757,MD Mishra,Right hand Bat,Right arm Offbreak, 
34983,RJ Peterson,Left hand Bat,Slow Left arm Orthodox, 
14463,CA Pujara,Right hand Bat,Legbreak, 
14489,A Uniyal,Left hand Bat,Left arm Medium, 
13651,GR Napier,Right hand Bat,Right arm Medium, 
14136,J Botha,Right hand Bat,Right arm Offbreak, 
13227,Kamran Khan,Left hand Bat,Left arm Medium fast, 
12454,U Kaul,Left hand Bat, ,Wicketkeeper
13620,S Tyagi,Right hand Bat,Right arm Medium, 
16276,BJ Haddin,Right hand Bat, ,Wicketkeeper
12518,CK Kapugedera,Right hand Bat,Right arm Medium,Occasional Wicketkeeper
12471,S Anirudha,Right hand Bat, , 
13384,RJ Quiney,Left hand Bat,Right arm Medium, 
13260,YA Abdulla,Left hand Bat,Left arm Fast medium, 
12650,TM Dilshan,Right hand Bat,Right arm Offbreak,Wicketkeeper
13551,MN van Wyk,Right hand Bat,Slow Left arm Orthodox,Wicketkeeper
14206,SS Shaikh,Right hand Bat,Right arm Medium, 
15878,AC Thomas,Right hand Bat,Right arm Fast medium, 
15003,PD Collingwood,Right hand Bat,Right arm Medium, 
15239,AP Dole,Right hand Bat,Right arm Medium fast, 
14216,Jaskaran Singh,Right hand Bat,Right arm Medium, 
12850,H Das,Right hand Bat, ,Wicketkeeper
33972,AA Chavan,Left hand Bat,Slow Left arm Orthodox, 
13986,A Mithun,Right hand Bat,Right arm Medium, 
12339,S Vidyut,Left hand Bat,Slow Left arm Orthodox, 
15851,JEC Franklin,Left hand Bat,Left arm Medium, 
13508,AN Ghosh,Right hand Bat,Right arm Medium, 
12422,RR Raje,Right hand Bat,Right arm Fast medium, 
14008,SS Sarkar,Right hand Bat,Right arm Medium, 
15896,RN ten Doeschate,Right hand Bat,Right arm Medium fast, 
15140,DE Bollinger,Left hand Bat,Left arm Fast medium, 
14567,S Ladda,Right hand Bat,Legbreak, 
16249,DH Yagnik,Left hand Bat, , 
13245,DP Nannes,Right hand Bat,Left arm Fast, 
13810,A Singh,Right hand Bat,Right arm Medium fast, 
34392,TP Sudhindra,Left hand Bat,Right arm Fast, 
15779,S Randiv,Right hand Bat,Right arm Offbreak, 
13383,PC Valthaty,Right hand Bat,Right arm Medium, 
34554,P Awana,Right hand Bat,Right arm Medium, 
12710,Shoaib Akhtar,Right hand Bat,Right arm Fast, 
34530,RR Bhatkal,Right hand Bat,Right arm Medium, 
34343,KK Cooper,Right hand Bat,Right arm Medium, 
12661,AD Mascarenhas,Right hand Bat,Right arm Fast medium, 
14541,JM Kemp,Right hand Bat,Right arm Fast medium, 
12362,LPC Silva,Right hand Bat,Legbreak, 
12580,SR Tendulkar,Right hand Bat,"Right arm Offbreak, Legbreak Googly", 
13785,RJ Harris,Right hand Bat,Right arm Fast, 
15339,L Ablish,Right hand Bat,Right arm Medium fast, 
15384,S Sriram,Left hand Bat,Slow Left arm Orthodox, 
14201,Mashrafe Mortaza,Right hand Bat,Right arm Fast medium, 
14492,SW Tait,Right hand Bat,Right arm Fast, 
6657,DP Conway,Left hand Bat,Right arm Medium,Occasional Wicketkeeper
8383,C Green,Right hand Bat,Right arm Fast medium, 
13258,VS Malik,Right hand Bat,Right arm Medium, 
4339,N Jagadeesan,Right hand Bat, ,Wicketkeeper
76,Sandeep Sharma,Right hand Bat,Right arm Medium, 
14279,Y Nagar,Right hand Bat,Right arm Offbreak, 
1314,IR Jaggi,Right hand Bat,Legbreak Googly, 
44,Imran Tahir,Right hand Bat,Legbreak Googly, 
900,PJ Sangwan,Right hand Bat,Left arm Medium, 
11943,MEK Hussey,Left hand Bat,Right arm Medium, 
2024,L Ngidi,Right hand Bat,Right arm Fast medium, 
11991,SM Pollock,Right hand Bat,Right arm Fast medium, 
35966,MDKJ Perera,Left hand Bat, ,Wicketkeeper
8748,Vijaykumar Vyshak,Right hand Bat,Right arm Medium, 
38647,JW Hastings,Right hand Bat,Right arm Fast medium, 
7546,Harshit Rana,Right hand Bat,Right arm Fast, 
8098,A Tomar,Right hand Bat,Right arm Offbreak, 
1327,CJ Jordan,Right hand Bat,Right arm Fast medium, 
2315,P Chopra,Right hand Bat,Legbreak Googly,Occasional Wicketkeeper
11971,SK Warne,Right hand Bat,Legbreak Googly, 
16693,AC Blizzard,Left hand Bat,Left arm Medium, 
36610,DJG Sammy,Right hand Bat,Right arm Medium, 
49,KD Karthik,Right hand Bat,Right arm Offbreak,Wicketkeeper
176,B Stanlake,Left hand Bat,Right arm Fast, 
10109,MA Starc,Left hand Bat,Left arm Fast, 
11940,SB Joshi,Left hand Bat,Slow Left arm Orthodox, 
12746,Younis Khan,Right hand Bat,"Right arm Medium, Legbreak", 
40242,P Sahu,Right hand Bat,Legbreak Googly, 
418,MM Patel,Right hand Bat,Right arm Medium fast, 
12252,DB Das,Right hand Bat,Legbreak Googly, 
6287,RV Patel,Right hand Bat,Right arm Medium fast, 
12539,T Taibu,Right hand Bat,Right arm Medium,Wicketkeeper
34697,CJ McKay,Right hand Bat,Right arm Fast medium, 
14360,RA Shaikh,Left hand Bat,Left arm Medium, 
2188,M Prasidh Krishna,Right hand Bat,Right arm Fast medium, 
6047,GHS Garton,Left hand Bat,Left arm Fast, 
54,DS Kulkarni,Right hand Bat,Right arm Medium, 
69,WP Saha,Right hand Bat, ,Wicketkeeper
42,A Zampa,Right hand Bat,Legbreak Googly, 
40725,PSP Handscomb,Right hand Bat, ,Wicketkeeper
8295,RS Hangargekar,Right hand Bat,Right arm Fast medium, 
67,HM Amla,Right hand Bat,"Right arm Medium, Right arm Offbreak", 
25,RG Sharma,Right hand Bat,Right arm Offbreak, 
11972,SK Trivedi,Right hand Bat,Right arm Medium, 
13595,TL Suman,Right hand Bat,Right arm Offbreak, 
34774,A Ashish Reddy,Right hand Bat,Right arm Medium, 
12238,B Chipli,Right hand Bat,Right arm Medium, 
14653,S Narwal,Left hand Bat,Right arm Medium, 
12204,SD Chitnis,Right hand Bat,Right arm Offbreak, 
35864,Sunny Gupta,Right hand Bat,Right arm Offbreak, 
31,TG Southee,Right hand Bat,Right arm Medium fast, 
17,BCJ Cutting,Right hand Bat,Right arm Fast medium, 
38548,BE Hendricks,Left hand Bat,Left arm Fast medium, 
13083,BAW Mendis,Right hand Bat,Right arm Offbreak, 
12327,SA Asnodkar,Right hand Bat,Right arm Offbreak, 
11970,D Salunkhe,Right hand Bat,Legbreak, 
11966,M Kaif,Right hand Bat,Right arm Offbreak, 
36536,IC Pandey,Right hand Bat,Right arm Medium, 
14487,P Dogra,Right hand Bat,Legbreak, 
13692,LA Carseldine,Left hand Bat,Left arm Medium, 
19,Bipul Sharma,Left hand Bat,Slow Left arm Orthodox, 
4170,JR Philippe,Right hand Bat, ,Wicketkeeper
16199,TD Paine,Right hand Bat,Right arm Medium,Wicketkeeper
11937,AA Noffke,Right hand Bat,Right arm Fast medium, 
12041,Kamran Akmal,Right hand Bat, ,Wicketkeeper
36311,BJ Rohrer,Left hand Bat, ,Occasional Wicketkeeper
36555,CM Gautam,Right hand Bat, ,Wicketkeeper
41020,F Behardien,Right hand Bat,Right arm Fast medium, 
37031,PV Tambe,Right hand Bat,Legbreak, 
35892,MC Juneja,Right hand Bat,Right arm Offbreak, 
41286,ER Dwivedi,Right hand Bat, ,Wicketkeeper
35459,K Upadhyay,Right hand Bat,Right arm Medium, 
37347,MG Neser,Right hand Bat,Right arm Medium fast, 
40895,UT Khawaja,Left hand Bat,Right arm Medium, 
40385,KJ Abbott,Right hand Bat,Right arm Fast medium, 
38924,DJ Muthuswami,Right hand Bat,Right arm Medium, 
6360,Anmolpreet Singh,Right hand Bat,Right arm Offbreak, 
3011,JP Behrendorff,Right hand Bat,Left arm Fast medium, 
27,AT Rayudu,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper
1437,AD Russell,Right hand Bat,Right arm Fast, 
34601,V Pratap Singh,Right hand Bat,Right arm Medium, 
1856,LE Plunkett,Right hand Bat,Right arm Fast, 
13563,RE van der Merwe,Right hand Bat,Slow Left arm Orthodox, 
58,RV Uthappa,Right hand Bat,Right arm Medium,Occasional Wicketkeeper
8945,PD Salt,Right hand Bat,Right arm Offbreak,Wicketkeeper
293,V Shankar,Right hand Bat,Right arm Medium, 
37595,NJ Maddinson,Left hand Bat,Slow Left arm Orthodox, 
11934,CL White,Right hand Bat,Legbreak Googly, 
11969,M Rawat,Right hand Bat, ,Wicketkeeper
9181,Gurnoor Brar,Left hand Bat,Right arm Fast, 
46,BB McCullum,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper
13863,M Morkel,Left hand Bat,Right arm Fast, 
7902,KS Sharma,Right hand Bat,Right arm Offbreak, 
16648,P Parameswaran,Right hand Bat,Left arm Medium, 
33961,P Prasanth,Left hand Bat,Slow Left arm Orthodox, 
5473,Lalit Yadav,Right hand Bat,Right arm Offbreak, 
16,DJ Hooda,Right hand Bat,Right arm Offbreak, 
1990,IS Sodhi,Right hand Bat,Legbreak, 
494,BB Sran,Left hand Bat,Left arm Medium, 
34382,DJ Harris,Right hand Bat,Right arm Medium, 
3518,Y Prithvi Raj,Left hand Bat,Left arm Medium, 
1964,JP Duminy,Left hand Bat,Right arm Offbreak, 
15866,NJ Rimmington,Right hand Bat,Right arm Fast medium, 
21,A Nehra,Right hand Bat,Left arm Medium fast, 
3495,Harpreet Brar,Left hand Bat,Slow Left arm Orthodox, 
